Poco;Tipo;LDA;Class_etapa;Duracao;UO;Campo;Tipo_sonda;Sonda;Data_fim_etapa
8-GLF-3HPA-ESS;Convencional com BOP;1358;Faseado Completo;29,5622;UO-ES;GOLFINHO;DP-GEN;SS-81;5/19/2018 10:30:00 AM
8-GLF-3HPA-ESS;Convencional com BOP;1358;Faseado Completo;23,7503;UO-ES;GOLFINHO;DP-LWO;NS-51;5/19/2018 10:30:00 AM
8-MLS-49HPA-RJS;Convencional com BOP;881;Etapa Única;30,6249;UO-BC;MARLIM SUL;DP-GEN;SS-79;6/30/2021 11:30:00 PM
8-MLS-61HPA-RJS;Convencional RCMA;1137;Faseado Etapa 1;17,2914;UO-BC;MARLIM SUL;DP-GEN;SS-83;1/20/2022 4:00:00 AM
8-MLS-75HPA-RJS;Convencional com BOP;1316;Etapa Única;29,1665;UO-BC;MARLIM SUL;DP-GEN;SS-57;3/24/2019 4:45:00 AM
8-MRL-105D-RJS;Through-Tubing;901;Etapa Única;27,0413;UO-BC;MARLIM;DP-LWO;NS-52;8/8/2021 3:00:00 AM
8-MRL-114D-RJS;Convencional RCMA;970;Etapa Única;25,5623;UO-BC;MARLIM;DP-LWO;NS-51;3/17/2020 7:00:00 AM
8-MRL-120D-RJS;Convencional com BOP;945;Faseado Etapa 1;34,896;UO-BC;MARLIM;DP-LWO;NS-52;11/2/2021 6:30:00 AM
8-MRL-139D-RJS;Convencional com BOP;929;Faseado Completo;17,6877;UO-BC;MARLIM;DP-GEN;SS-83;9/18/2021 12:00:00 AM
8-MRL-139D-RJS;Convencional com BOP;929;Faseado Completo;19,4164;UO-BC;MARLIM;DP-GEN;SS-79;3/21/2022 8:00:00 AM
8-MRL-165HPA-RJS;Convencional com BOP;891;Faseado Etapa 1;17,9374;UO-BC;MARLIM;DP-GEN;SS-83;11/25/2021 12:00:00 AM
8-MRL-61A-RJS;Through-Tubing;960;Etapa Única;10,2708;UO-BC;MARLIM;DP-LWO;NS-52;1/3/2021 1:30:00 PM
8-MRL-73D-RJS;Convencional com BOP;958;Faseado Etapa 1;26,2916;UO-BC;MARLIM;DP-LWO;NS-52;12/24/2020 7:00:00 AM
8-MRL-75D-RJS;Through-Tubing;950;Etapa Única;19,5001;UO-BC;MARLIM;DP-LWO;NS-52;11/21/2021 6:30:00 PM
8-MRL-79D-RJS;Through-Tubing;956;Etapa Única;8,9999;UO-BC;MARLIM;DP-LWO;NS-52;1/12/2021 1:30:00 PM
8-PRM-2D-SES;Convencional RCMA;1376;Faseado Completo;39,8955;UO-SEAL;PIRANEMA;DP-LWO;NS-51;12/9/2020 10:30:00 AM
8-PRM-2D-SES;Convencional RCMA;1376;Faseado Completo;9,104;UO-SEAL;PIRANEMA;DP-LWO;NS-51;12/9/2020 10:30:00 AM
8-PRM-3-SES;Through-Tubing;1127;Etapa Única;24,8332;UO-SEAL;PIRANEMA;DP-LWO;NS-51;7/15/2021 10:00:00 AM
8-PRM-7D-SES;Through-Tubing;1640;Etapa Única;20,1877;UO-SEAL;PIRANEMA;DP-LWO;NS-51;12/29/2020 3:00:00 PM
8-PRM-8-SES;Convencional RCMA;1250;Faseado Completo;16,5001;UO-SEAL;PIRANEMA;DP-LWO;NS-51;11/30/2020 8:00:00 AM
8-PRM-8-SES;Convencional RCMA;1250;Faseado Completo;6,7291;UO-SEAL;PIRANEMA;DP-LWO;NS-51;11/30/2020 8:00:00 AM
9-BD-18HP-RJS;Convencional com BOP;91;Etapa Única;27,8124;UO-BC;BADEJO;ANC;SS-39;12/26/2015 5:30:00 PM
9-CRV-3-PRS;Convencional com BOP;195;Faseado Etapa 2;16,7917;UO-BS;CARAVELA;ANC;SS-45;10/6/2017 5:30:00 AM
9-ESP-12D-RJS;Convencional RCMA;828;Etapa Única;46,8957;UO-BC;ESPADARTE;DP-GEN;SS-57;8/2/2019 1:00:00 PM
9-ESP-18DP-RJS;Convencional com BOP;1404;Faseado Etapa 2;27,5622;UO-BC;ESPADARTE;DP-GEN;SS-83;7/12/2021 12:00:00 PM
9-ESP-7D-RJS;Convencional com BOP;873;Etapa Única;55,2915;UO-BC;ESPADARTE;DP-GEN;SS-57;11/1/2017 12:00:00 AM
9-RO-17D-RJS;Convencional com BOP;1777;Etapa Única;44,083;UO-ES;RONCADOR;DP-GEN;SS-79;6/23/2020 5:30:00 PM
